id_client,genre,espace_client_web,assurance_vie,banque_principale,anciennete_mois,compte_epargne,credit_autres,cartes_bancaires,compte_courant,compte_joint,PEA,assurance_auto,assurance_habitation,credit_immo,type,compte_titres,methode_contact,agios_6mois,age,segment_client,var_0,branche,churn
3463,H,0.0,non,non,37.0,oui,consommation,medium,oui,non,non,non,oui,non,pro,oui,mail,91.15,30.0,A4,3788.182744785004,NORD-OUEST,non
1463,F,0.0,non,non,4.0,oui,permanent,medium,non,non,non,non,non,non,pro,non,mail,70.4,32.0,B2,5108.994106001169,NORD-OUEST,oui
688,H,0.0,non,non,52.0,non,bail,basic,non,oui,non,non,non,non,perso,non,courrier,30.1,57.0,A1,13927.908141930224,NORD-OUEST,non
2478,H,0.0,non,non,4.0,oui,permanent,basic,non,non,non,non,non,non,pro,non,courrier,44.55,27.0,D1,6609.03112153454,NORD-OUEST,non
242,F,0.0,oui,oui,41.0,oui,permanent,basic,oui,non,non,oui,oui,oui,perso,oui,sms,74.7,71.0,D1,3582.799034867271,NORD-OUEST,non
3395,H,0.0,non,non,62.0,oui,consommation,medium,oui,oui,oui,non,non,non,pro,non,telephone,90.7,30.0,A4,12999.746059162442,NORD-OUEST,non
3150,H,0.0,non,non,17.0,non,bail,basic,non,non,non,non,non,non,pro,oui,courrier,25.65,57.0,C1,3925.139303313944,NORD-OUEST,non
1097,H,0.0,oui,oui,25.0,oui,permanent,medium,non,non,non,non,oui,oui,perso,oui,mail,90.4,34.0,D3,393.7575695939204,NORD-OUEST,oui
210,H,0.0,non,non,2.0,oui,permanent,basic,non,non,non,non,non,non,pro,oui,sms,46.0,40.0,A1,8963.077485072206,NORD-OUEST,oui
1716,H,0.0,non,non,8.0,oui,permanent,basic,non,non,non,non,non,oui,pro,oui,sms,54.75,63.0,B2,987.7576541781368,NORD-OUEST,non
4948,F,0.0,non,non,4.0,oui,permanent,basic,non,non,non,non,oui,non,pro,non,sms,55.5,30.0,C2,9189.29750384471,NORD-OUEST,non
2946,F,0.0,oui,oui,51.0,oui,consommation,medium,non,non,non,oui,non,non,pro,oui,mail,80.75,86.0,B2,9278.757649267212,NORD-OUEST,non
1661,F,1.0,oui,non,65.0,oui,consommation,medium,non,oui,oui,non,oui,oui,pro,oui,telephone,108.8,20.0,B1,17080.56522010621,NORD-OUEST,non
2090,F,0.0,oui,oui,48.0,non,bail,basic,non,non,non,oui,non,non,pro,oui,sms,29.5,44.0,C1,7954.40893024853,NORD-OUEST,non
348,F,0.0,non,non,23.0,non,bail,basic,non,non,non,non,oui,oui,pro,oui,mail,44.95,59.0,A1,5064.899878957188,NORD-OUEST,non
274,H,0.0,non,non,1.0,oui,permanent,medium,non,non,non,non,non,non,pro,non,courrier,70.6,27.0,C1,4921.870650820985,NORD-OUEST,oui
5912,F,1.0,non,non,47.0,oui,consommation,medium,non,oui,oui,non,non,non,pro,oui,telephone,85.2,33.0,C2,1407.3554349760784,NORD-OUEST,oui
