churn,id_client,genre,espace_client_web,assurance_vie,banque_principale,anciennete_mois,compte_epargne,compte_courant,compte_joint,PEA,assurance_auto,assurance_habitation,credit_immo,type,compte_titres,agios_6mois,age,var_0,credit_autres_consommation,credit_autres_permanent,cartes_bancaires_medium,methode_contact_mail,methode_contact_sms,methode_contact_telephone,segment_client_A2,segment_client_A3,segment_client_A4,segment_client_B1,segment_client_B2,segment_client_B3,segment_client_B4,segment_client_C1,segment_client_C2,segment_client_C3,segment_client_C4,segment_client_D1,segment_client_D2,segment_client_D3,branche_NORD-EST,branche_NORD-OUEST,branche_OUTRE-MER,branche_SUD-EST,branche_SUD-OUEST
0,3463,1,0.0,0,0,37.0,1,1,0,0,0,1,0,1,1,91.15,30.0,3788.182744785004,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,1463,0,0.0,0,0,4.0,1,0,0,0,0,0,0,1,0,70.4,32.0,5108.994106001169,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,688,1,0.0,0,0,52.0,0,0,1,0,0,0,0,0,0,30.1,57.0,13927.908141930224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,2478,1,0.0,0,0,4.0,1,0,0,0,0,0,0,1,0,44.55,27.0,6609.03112153454,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
0,242,0,0.0,1,1,41.0,1,1,0,0,1,1,1,0,1,74.7,71.0,3582.799034867271,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
0,3395,1,0.0,0,0,62.0,1,1,1,1,0,0,0,1,0,90.7,30.0,12999.746059162442,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,3150,1,0.0,0,0,17.0,0,0,0,0,0,0,0,1,1,25.65,57.0,3925.139303313944,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1,1097,1,0.0,1,1,25.0,1,0,0,0,0,1,1,0,1,90.4,34.0,393.7575695939204,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1,210,1,0.0,0,0,2.0,1,0,0,0,0,0,0,1,1,46.0,40.0,8963.077485072206,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,1716,1,0.0,0,0,8.0,1,0,0,0,0,0,1,1,1,54.75,63.0,987.7576541781368,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,4948,0,0.0,0,0,4.0,1,0,0,0,0,1,0,1,0,55.5,30.0,9189.29750384471,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0,2946,0,0.0,1,1,51.0,1,0,0,0,1,0,0,1,1,80.75,86.0,9278.757649267212,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,1661,0,1.0,1,0,65.0,1,0,1,1,0,1,1,1,1,108.8,20.0,17080.56522010621,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,2090,0,0.0,1,1,48.0,0,0,0,0,1,0,0,1,1,29.5,44.0,7954.40893024853,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0,348,0,0.0,0,0,23.0,0,0,0,0,0,1,1,1,1,44.95,59.0,5064.899878957188,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,274,1,0.0,0,0,1.0,1,0,0,0,0,0,0,1,0,70.6,27.0,4921.870650820985,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1,5912,0,1.0,0,0,47.0,1,0,1,1,0,0,0,1,1,85.2,33.0,1407.3554349760784,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0,5142,0,0.0,0,0,66.0,1,1,1,1,1,1,0,0,1,104.55,59.0,858.5485259562147,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
